sample_id,domain,prompt_variant,prompt_path,prompt_text,prompt_text_normalized,prompt_hash,prompt_char_count,prompt_word_count,target_path,target_logical_name,target_yaml_raw,target_yaml_normalized,yaml_parse_ok,prompt_policy,validation_status,validation_notes,leakage_group,leakage_reasons,split
q2,Kubernetes,question,data/question/Kubernetes/q2/question.txt,"Please provide me with the Kubernetes ConfigMap configuration for the game-demo application.
It specifies the initial number of lives for a player is ""3"", the ui_properties_file_name is ""user-interface.properties"", 
The game.properties specifies the params of 2 object: enemy and player. the types of enemies in the game are 'aliens,monsters'.
the maximum-lives a player can have is 5.","please provide me with the kubernetes configmap configuration for the game-demo application. it specifies the initial number of lives for a player is ""3"", the ui_properties_file_name is ""user-interface.properties"", the game.properties specifies the params of 2 object: enemy and player. the types of enemies in the game are 'aliens,monsters'. the maximum-lives a player can have is 5.",d80f77e6571825d7efc58ae7e244820e7bb5e22e2d1275ed12eb008a08c653b7,385,58,data/docker_compose/Kubernetes/q2/labeled_code.yaml,target_yaml,"apiVersion: v1
kind: ConfigMap
metadata:
  name: game-demo
data:
  player_initial_lives: ""3""
  ui_properties_file_name: ""user-interface.properties""
  game.properties: |
    enemy.types=aliens,monsters
    player.maximum-lives=5","apiVersion: v1
data:
  game.properties: 'enemy.types=aliens,monsters

    player.maximum-lives=5'
  player_initial_lives: '3'
  ui_properties_file_name: user-interface.properties
kind: ConfigMap
metadata:
  name: game-demo
",True,retain_both_variants_shared_split,ok,,group_001,sample_id_only,train
q2,Kubernetes,question_simplified,data/question/Kubernetes/q2/question_simplified.txt,"Provide Kubernetes ConfigMap config for game-demo app. Initial player lives: 3, ui_properties_file_name: user-interface.properties. game.properties defines params for objects enemy and player. Enemy types: aliens, monsters. Max player lives: 5.
","provide kubernetes configmap config for game-demo app. initial player lives: 3, ui_properties_file_name: user-interface.properties. game.properties defines params for objects enemy and player. enemy types: aliens, monsters. max player lives: 5.",e412b986a1c03c42314ec8c221d6086e93a0758cb1b9ea82bdc72ea10367c520,245,29,data/docker_compose/Kubernetes/q2/labeled_code.yaml,target_yaml,"apiVersion: v1
kind: ConfigMap
metadata:
  name: game-demo
data:
  player_initial_lives: ""3""
  ui_properties_file_name: ""user-interface.properties""
  game.properties: |
    enemy.types=aliens,monsters
    player.maximum-lives=5","apiVersion: v1
data:
  game.properties: 'enemy.types=aliens,monsters

    player.maximum-lives=5'
  player_initial_lives: '3'
  ui_properties_file_name: user-interface.properties
kind: ConfigMap
metadata:
  name: game-demo
",True,retain_both_variants_shared_split,ok,,group_001,sample_id_only,train
q3,Kubernetes,question,data/question/Kubernetes/q3/question.txt,"Is it possible to find out a K8s cluster name from the API? I looked around the API and could not find it.
If not, please provide a YAML file to store it inside the cluster with a configmap named cluster-info. The cluster-name is foo.","is it possible to find out a k8s cluster name from the api? i looked around the api and could not find it. if not, please provide a yaml file to store it inside the cluster with a configmap named cluster-info. the cluster-name is foo.",f6f6432b431bf57e043df3e280a6bee03e1c1d572b2dd1a7afc5b169384d0e67,234,45,data/docker_compose/Kubernetes/q3/labeled_code.yaml,target_yaml,"apiVersion: v1
kind: ConfigMap
metadata:
  name: cluster-info
data:
  cluster-name: foo","apiVersion: v1
data:
  cluster-name: foo
kind: ConfigMap
metadata:
  name: cluster-info
",True,retain_both_variants_shared_split,ok,,group_002,sample_id_only,train
q3,Kubernetes,question_simplified,data/question/Kubernetes/q3/question_simplified.txt,"Is it possible to find the K8s cluster name from the API? If not, provide a YAML file to store it in the cluster with a configmap named cluster-info, using the cluster-name foo.
","is it possible to find the k8s cluster name from the api? if not, provide a yaml file to store it in the cluster with a configmap named cluster-info, using the cluster-name foo.",44651ccf436cfc7f93bbecb6767db0e152b631f5ba1675d887dc020ca4220e51,178,33,data/docker_compose/Kubernetes/q3/labeled_code.yaml,target_yaml,"apiVersion: v1
kind: ConfigMap
metadata:
  name: cluster-info
data:
  cluster-name: foo","apiVersion: v1
data:
  cluster-name: foo
kind: ConfigMap
metadata:
  name: cluster-info
",True,retain_both_variants_shared_split,ok,,group_002,sample_id_only,train
q4,Kubernetes,question,data/question/Kubernetes/q4/question.txt,"I have a question related to Kubernetes YAML:
Create a ConfigMap named database-config that contains the following key-values: DB_HOST=database-host, DB_PORT=5432.
","i have a question related to kubernetes yaml: create a configmap named database-config that contains the following key-values: db_host=database-host, db_port=5432.",54977fffb5a12c167ffef1674c52c970feb07c9175b71545a50a46f1dbbbacfe,164,22,data/docker_compose/Kubernetes/q4/labeled_code.yaml,target_yaml,"apiVersion: v1
kind: ConfigMap
metadata:
  name: database-config
data:
  DB_HOST: database-host
  DB_PORT: ""5432""
","apiVersion: v1
data:
  DB_HOST: database-host
  DB_PORT: '5432'
kind: ConfigMap
metadata:
  name: database-config
",True,retain_both_variants_shared_split,ok,,group_003,sample_id_only,train
q4,Kubernetes,question_simplified,data/question/Kubernetes/q4/question_simplified.txt,"Create a ConfigMap named database-config with key-values DB_HOST=database-host and DB_PORT=5432.
",create a configmap named database-config with key-values db_host=database-host and db_port=5432.,f75639d870703773e5782b6369735058410bce574c07303123db46271c6064c4,97,12,data/docker_compose/Kubernetes/q4/labeled_code.yaml,target_yaml,"apiVersion: v1
kind: ConfigMap
metadata:
  name: database-config
data:
  DB_HOST: database-host
  DB_PORT: ""5432""
","apiVersion: v1
data:
  DB_HOST: database-host
  DB_PORT: '5432'
kind: ConfigMap
metadata:
  name: database-config
",True,retain_both_variants_shared_split,ok,,group_003,sample_id_only,train
q5,Kubernetes,question,data/question/Kubernetes/q5/question.txt,"Please write a yaml file for k8s cronjob that prints 'OK' every minute using the latest ubuntu image. 
The name of the job has to be 'example'.",please write a yaml file for k8s cronjob that prints 'ok' every minute using the latest ubuntu image. the name of the job has to be 'example'.,ba8ad4961c5467b7843762c6c41249c0faccc5edd009dfd245741ddf5855ef7c,143,28,data/docker_compose/Kubernetes/q5/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""bash"", ""-c"", ""echo 'OK'""]
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - bash
            - -c
            - echo 'OK'
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",True,retain_both_variants_shared_split,ok,,group_004,sample_id_only,train
q5,Kubernetes,question_simplified,data/question/Kubernetes/q5/question_simplified.txt,"Write a YAML for a k8s cronjob that prints 'OK' every minute using the latest ubuntu image. Job name: 'example'.
",write a yaml for a k8s cronjob that prints 'ok' every minute using the latest ubuntu image. job name: 'example'.,6195db745ef517005b80aecf2a3fe14f306ed04d32aaa7d4948f2f71c3be564e,113,21,data/docker_compose/Kubernetes/q5/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""bash"", ""-c"", ""echo 'OK'""]
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - bash
            - -c
            - echo 'OK'
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",True,retain_both_variants_shared_split,ok,,group_004,sample_id_only,train
q6,Kubernetes,question,data/question/Kubernetes/q6/question.txt,"Is there a way to automatically remove completed Jobs besides making a CronJob to clean up completed Jobs?
Specifically, Please modify this YAML so that it can only keep 0 completed jobs and 2 failed job. 
```
apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure
```","is there a way to automatically remove completed jobs besides making a cronjob to clean up completed jobs? specifically, please modify this yaml so that it can only keep 0 completed jobs and 2 failed job. ``` apiversion: batch/v1 kind: cronjob metadata: name: hello spec: schedule: ""*/1 * * * *"" jobtemplate: spec: template: spec: containers: - name: hello image: busybox args: - /bin/sh - -c - date; echo hello from the kubernetes cluster restartpolicy: onfailure ```",aca936d52970256abf8e01e43a2818bb08991992b41ea398e9df3b0cea2efe87,583,71,data/docker_compose/Kubernetes/q6/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  successfulJobsHistoryLimit: 0
  failedJobsHistoryLimit: 2
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  failedJobsHistoryLimit: 2
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
            image: busybox
            name: hello
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
  successfulJobsHistoryLimit: 0
",True,retain_both_variants_shared_split,ok,,group_005,sample_id_only,train
q6,Kubernetes,question_simplified,data/question/Kubernetes/q6/question_simplified.txt,"Can we automatically remove completed Jobs without using a CronJob? Modify this YAML to keep 0 completed jobs and 2 failed jobs.
```
apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure
```","can we automatically remove completed jobs without using a cronjob? modify this yaml to keep 0 completed jobs and 2 failed jobs. ``` apiversion: batch/v1 kind: cronjob metadata: name: hello spec: schedule: ""*/1 * * * *"" jobtemplate: spec: template: spec: containers: - name: hello image: busybox args: - /bin/sh - -c - date; echo hello from the kubernetes cluster restartpolicy: onfailure ```",7eabf093aaa805f49a6c59ccc055ac228769bf8f4ce998fe13f6cea8b15213a9,506,57,data/docker_compose/Kubernetes/q6/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  successfulJobsHistoryLimit: 0
  failedJobsHistoryLimit: 2
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  failedJobsHistoryLimit: 2
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
            image: busybox
            name: hello
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
  successfulJobsHistoryLimit: 0
",True,retain_both_variants_shared_split,ok,,group_005,sample_id_only,train
q7,Kubernetes,question,data/question/Kubernetes/q7/question.txt,"Please write a yaml file for k8s cronjob that prints 'OK' every minute and sleep 80 seconds using the latest ubuntu image. 
The name of the job has to be 'example'. Do not run if the previous cronjob is still running.",please write a yaml file for k8s cronjob that prints 'ok' every minute and sleep 80 seconds using the latest ubuntu image. the name of the job has to be 'example'. do not run if the previous cronjob is still running.,8d613bc1f5ba2495f4c126aa52b9c36202a7eb07386d91f4fe7e0eace16ef4f5,217,42,data/docker_compose/Kubernetes/q7/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""bash"", ""-c"", ""echo 'OK'; sleep 80""]
          restartPolicy: OnFailure
  concurrencyPolicy: Forbid","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  concurrencyPolicy: Forbid
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - bash
            - -c
            - echo 'OK'; sleep 80
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",True,retain_both_variants_shared_split,ok,,group_006,sample_id_only,train
q7,Kubernetes,question_simplified,data/question/Kubernetes/q7/question_simplified.txt,"Write a YAML for a k8s cronjob that prints 'OK' every minute and sleeps for 80 seconds using the latest ubuntu image. Job name: 'example'. Do not run if the previous cronjob is still running.
",write a yaml for a k8s cronjob that prints 'ok' every minute and sleeps for 80 seconds using the latest ubuntu image. job name: 'example'. do not run if the previous cronjob is still running.,633ba79c830e7af92b3b0465cb88a773a5224035cc1fc79c234224f9eb842a32,192,36,data/docker_compose/Kubernetes/q7/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""bash"", ""-c"", ""echo 'OK'; sleep 80""]
          restartPolicy: OnFailure
  concurrencyPolicy: Forbid","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  concurrencyPolicy: Forbid
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - bash
            - -c
            - echo 'OK'; sleep 80
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",True,retain_both_variants_shared_split,ok,,group_006,sample_id_only,train
q8,Kubernetes,question,data/question/Kubernetes/q8/question.txt,Please write a yaml file for k8s cronjob that prints 'OK' every minute using the latest ubuntu image. The name of the job has to be 'example'. Then modify it to run at the begining of every month instead.,please write a yaml file for k8s cronjob that prints 'ok' every minute using the latest ubuntu image. the name of the job has to be 'example'. then modify it to run at the begining of every month instead.,ec66e3baa9a4545b3892eb30db11db2f6677a034504f0217c738d76c0abd9708,204,40,data/docker_compose/Kubernetes/q8/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""0 0 1 * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""echo"", ""OK""]
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - echo
            - OK
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: 0 0 1 * *
",True,retain_both_variants_shared_split,ok,,group_007,sample_id_only,train
q8,Kubernetes,question_simplified,data/question/Kubernetes/q8/question_simplified.txt,"Write a YAML for a k8s cronjob that prints 'OK' every minute using the latest ubuntu image. Job name: 'example'. Modify it to run at the beginning of every month instead.
",write a yaml for a k8s cronjob that prints 'ok' every minute using the latest ubuntu image. job name: 'example'. modify it to run at the beginning of every month instead.,00c0d1cf6cdb42f0ec31bfa14135c973c4c8179f3dda16f3b6ac130f7614d7c4,171,32,data/docker_compose/Kubernetes/q8/labeled_code.yaml,target_yaml,"apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""0 0 1 * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""echo"", ""OK""]
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - echo
            - OK
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: 0 0 1 * *
",True,retain_both_variants_shared_split,ok,,group_007,sample_id_only,train
