sample_id,split,primary_kind,resource_count,question_word_count,question_simplified_word_count,prompt_pair_similarity,yaml_max_depth,yaml_mapping_nodes,yaml_list_nodes,yaml_scalar_nodes,yaml_total_nodes,target_yaml_char_count,leakage_reasons,duplicate_yaml_group_size,block_count,max_block_level,metadata,spec,containers,image,ports,env,volumes,volumeMounts,selector,template,data,rules,subjects,roleRef
q2,train,ConfigMap,1,58,29,0.200637,3,3,0,6,9,227,sample_id_only,1,10,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False
q3,train,ConfigMap,1,45,33,0.817518,3,3,0,4,7,87,sample_id_only,1,6,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False
q4,train,ConfigMap,1,22,12,0.694981,3,3,0,5,8,114,sample_id_only,1,7,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False
q5,train,CronJob,1,28,21,0.834646,10,8,2,10,20,312,sample_id_only,1,18,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q6,train,CronJob,1,71,57,0.711628,10,8,2,12,22,429,sample_id_only,1,20,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q7,train,CronJob,1,42,36,0.884521,10,8,2,11,21,350,sample_id_only,1,19,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q8,train,CronJob,1,40,32,0.871658,10,8,2,9,19,297,sample_id_only,1,17,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q9,train,CronJob,1,37,27,0.683761,10,8,2,11,21,367,sample_id_only,1,19,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q10,train,CronJob,1,30,26,0.852941,10,8,2,11,21,362,sample_id_only,1,19,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q11,train,CronJob,1,42,38,0.028747,11,9,3,12,24,402,sample_id_only,1,21,7,True,True,True,True,False,True,False,False,False,True,False,False,False,False
q12,test,DaemonSet,1,21,17,0.959302,7,10,1,7,18,348,exact_yaml_duplicate,2,16,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q13,validation,DaemonSet,1,54,37,0.58348,9,13,3,12,28,473,exact_yaml_duplicate,3,24,5,True,True,True,True,False,False,True,True,True,True,False,False,False,False
q14,train,DaemonSet,1,62,36,0.04918,9,14,1,11,26,514,sample_id_only,1,24,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q15,test,DaemonSet,1,36,27,0.87699,7,10,1,7,18,348,exact_yaml_duplicate,2,16,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q16,test,DaemonSet,1,59,42,0.597586,7,11,2,9,22,442,exact_yaml_duplicate,2,19,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q17,validation,DaemonSet,1,61,48,0.752613,8,11,4,11,26,409,exact_yaml_duplicate,2,23,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q18,test,DaemonSet,1,53,46,0.824873,8,11,2,10,23,371,exact_yaml_duplicate,2,21,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q19,validation,DaemonSet,1,49,46,0.656371,8,11,4,14,29,442,exact_yaml_duplicate,2,26,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q20,test,DaemonSet,1,45,35,0.812298,7,11,3,9,23,356,exact_yaml_duplicate,2,21,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
