sample_id,split,document_index,kind,apiVersion,yaml_max_depth,yaml_total_nodes,question_word_count,question_simplified_word_count,target_yaml_char_count,leakage_reasons,duplicate_yaml_group_size
q2,train,0,ConfigMap,v1,3,9,58,29,227,sample_id_only,1
q3,train,0,ConfigMap,v1,3,7,45,33,87,sample_id_only,1
q4,train,0,ConfigMap,v1,3,8,22,12,114,sample_id_only,1
q5,train,0,CronJob,batch/v1,10,20,28,21,312,sample_id_only,1
q6,train,0,CronJob,batch/v1,10,22,71,57,429,sample_id_only,1
q7,train,0,CronJob,batch/v1,10,21,42,36,350,sample_id_only,1
q8,train,0,CronJob,batch/v1,10,19,40,32,297,sample_id_only,1
q9,train,0,CronJob,batch/v1,10,21,37,27,367,sample_id_only,1
q10,train,0,CronJob,batch/v1,10,21,30,26,362,sample_id_only,1
q11,train,0,CronJob,batch/v1,11,24,42,38,402,sample_id_only,1
q12,test,0,DaemonSet,apps/v1,7,18,21,17,348,exact_yaml_duplicate,2
q13,validation,0,DaemonSet,apps/v1,9,28,54,37,473,exact_yaml_duplicate,3
q14,train,0,DaemonSet,apps/v1,9,26,62,36,514,sample_id_only,1
q15,test,0,DaemonSet,apps/v1,7,18,36,27,348,exact_yaml_duplicate,2
q16,test,0,DaemonSet,apps/v1,7,22,59,42,442,exact_yaml_duplicate,2
q17,validation,0,DaemonSet,apps/v1,8,26,61,48,409,exact_yaml_duplicate,2
q18,test,0,DaemonSet,apps/v1,8,23,53,46,371,exact_yaml_duplicate,2
q19,validation,0,DaemonSet,apps/v1,8,29,49,46,442,exact_yaml_duplicate,2
q20,test,0,DaemonSet,apps/v1,7,23,45,35,356,exact_yaml_duplicate,2
q21,validation,0,DaemonSet,apps/v1,13,29,58,48,616,exact_yaml_duplicate,2
q22,validation,0,DaemonSet,apps/v1,9,23,62,51,354,exact_yaml_duplicate,2
q23,test,0,DaemonSet,apps/v1,7,22,34,30,442,exact_yaml_duplicate,2
q24,validation,0,DaemonSet,apps/v1,9,28,49,38,473,exact_yaml_duplicate,3
q25,train,0,DaemonSet,apps/v1,7,19,28,18,307,sample_id_only,1
q26,train,0,DaemonSet,apps/v1,9,23,36,27,378,sample_id_only,1
q27,validation,0,DaemonSet,apps/v1,10,29,58,36,575,exact_yaml_duplicate,2
q28,validation,0,DaemonSet,apps/v1,10,29,88,75,575,exact_yaml_duplicate,2
q29,validation,0,DaemonSet,apps/v1,9,26,84,32,464,exact_yaml_duplicate,2
q30,validation,0,DaemonSet,apps/v1,9,26,67,56,464,exact_yaml_duplicate,2
q31,validation,0,ConfigMap,v1,9,38,120,70,697,exact_yaml_duplicate,2
q31,validation,1,DaemonSet,apps/v1,9,38,120,70,697,exact_yaml_duplicate,2
q32,validation,0,ConfigMap,v1,9,38,89,139,697,exact_yaml_duplicate,2
q32,validation,1,DaemonSet,apps/v1,9,38,89,139,697,exact_yaml_duplicate,2
q33,validation,0,ServiceAccount,v1,8,28,81,41,544,exact_yaml_duplicate,2
q33,validation,1,DaemonSet,apps/v1,8,28,81,41,544,exact_yaml_duplicate,2
q34,validation,0,DaemonSet,apps/v1,8,26,36,33,414,exact_yaml_duplicate,2
q35,validation,0,ServiceAccount,v1,8,28,98,50,544,exact_yaml_duplicate,2
q35,validation,1,DaemonSet,apps/v1,8,28,98,50,544,exact_yaml_duplicate,2
q36,validation,0,DaemonSet,apps/v1,8,29,85,39,524,exact_yaml_duplicate,2
q37,validation,0,DaemonSet,apps/v1,8,29,86,49,524,exact_yaml_duplicate,2
q38,validation,0,DaemonSet,apps/v1,8,30,93,54,545,exact_yaml_duplicate,2
q39,validation,0,DaemonSet,apps/v1,8,30,140,103,545,exact_yaml_duplicate,2
q40,test,0,DaemonSet,apps/v1,7,20,31,28,381,exact_yaml_duplicate,2
q41,validation,0,DaemonSet,apps/v1,9,34,48,29,607,exact_yaml_duplicate,2
q42,validation,0,DaemonSet,apps/v1,9,28,53,34,519,exact_yaml_duplicate,2
q43,validation,0,DaemonSet,apps/v1,9,40,47,30,708,exact_yaml_duplicate,2
q43,validation,1,Service,v1,9,40,47,30,708,exact_yaml_duplicate,2
q44,validation,0,DaemonSet,apps/v1,9,34,57,42,672,exact_yaml_duplicate,2
q45,test,0,DaemonSet,apps/v1,8,23,30,28,371,exact_yaml_duplicate,2
q46,test,0,DaemonSet,apps/v1,7,20,58,40,381,exact_yaml_duplicate,2
q47,validation,0,DaemonSet,apps/v1,9,34,73,66,601,exact_yaml_duplicate,2
q48,validation,0,DaemonSet,apps/v1,9,28,77,68,513,exact_yaml_duplicate,2
q49,validation,0,DaemonSet,apps/v1,9,40,87,72,701,exact_yaml_duplicate,2
q49,validation,1,Service,v1,9,40,87,72,701,exact_yaml_duplicate,2
q50,validation,0,DaemonSet,apps/v1,9,34,95,58,666,exact_yaml_duplicate,2
q51,train,0,DaemonSet,apps/v1,7,18,15,11,263,sample_id_only,1
q52,train,0,DaemonSet,apps/v1,9,38,64,56,658,sample_id_only,1
q53,train,0,DaemonSet,apps/v1,7,21,52,21,381,sample_id_only,1
q54,validation,0,DaemonSet,apps/v1,8,29,48,48,442,exact_yaml_duplicate,2
q55,train,0,DaemonSet,apps/v1,7,19,21,15,288,sample_id_only,1
q56,train,0,DaemonSet,apps/v1,7,27,37,35,480,sample_id_only,1
q57,train,0,DaemonSet,apps/v1,7,31,43,24,565,sample_id_only,1
q58,train,0,DaemonSet,apps/v1,7,20,45,25,310,sample_id_only,1
q59,train,0,DaemonSet,apps/v1,7,20,49,36,294,sample_id_only,1
q60,train,0,DaemonSet,apps/v1,9,32,90,63,583,sample_id_only,1
q61,test,0,DaemonSet,apps/v1,9,44,83,72,818,sample_id_only,1
q62,train,0,ConfigMap,v1,9,42,74,56,686,sample_id_only,1
q62,train,1,DaemonSet,apps/v1,9,42,74,56,686,sample_id_only,1
q63,test,0,DaemonSet,apps/v1,7,23,41,30,356,exact_yaml_duplicate,2
q64,validation,0,DaemonSet,apps/v1,13,29,37,23,616,exact_yaml_duplicate,2
q65,validation,0,DaemonSet,apps/v1,9,23,34,23,354,exact_yaml_duplicate,2
q66,validation,0,DaemonSet,apps/v1,9,28,38,31,473,exact_yaml_duplicate,3
q67,train,0,Deployment,apps/v1,9,27,32,24,443,sample_id_only,1
q68,test,0,ServiceAccount,v1,9,57,92,68,909,sample_id_only,1
q68,test,1,PersistentVolumeClaim,v1,9,57,92,68,909,sample_id_only,1
q68,test,2,Deployment,apps/v1,9,57,92,68,909,sample_id_only,1
q69,train,0,Deployment,apps/v1,7,19,36,35,278,sample_id_only,1
q70,train,0,Deployment,apps/v1,9,22,92,58,311,sample_id_only,1
q71,test,0,PersistentVolumeClaim,v1,9,47,101,79,795,sample_id_only,1
q71,test,1,Deployment,apps/v1,9,47,101,79,795,sample_id_only,1
q72,test,0,Secret,v1,11,54,89,98,919,sample_id_only,1
q72,test,1,Deployment,apps/v1,11,54,89,98,919,sample_id_only,1
q73,test,0,Service,v1,11,45,80,63,650,sample_id_only,1
q73,test,1,Deployment,apps/v1,11,45,80,63,650,sample_id_only,1
q74,train,0,Deployment,apps/v1,7,23,39,22,314,sample_id_only,1
q75,train,0,Deployment,apps/v1,9,29,56,52,447,sample_id_only,1
q76,train,0,Deployment,apps/v1,9,30,56,37,467,sample_id_only,1
q77,train,0,Deployment,apps/v1,13,37,44,26,626,sample_id_only,1
q78,test,0,Deployment,apps/v1,9,32,94,85,558,sample_id_only,1
q79,train,0,Deployment,apps/v1,9,22,49,41,315,sample_id_only,1
q80,train,0,Deployment,apps/v1,9,22,55,44,315,sample_id_only,1
q81,test,0,Service,v1,9,47,122,79,703,sample_id_only,1
q81,test,1,Deployment,apps/v1,9,47,122,79,703,sample_id_only,1
q82,train,0,Deployment,apps/v1,11,29,76,53,421,sample_id_only,1
q83,test,0,Deployment,apps/v1,9,43,110,85,686,sample_id_only,1
q84,train,0,Deployment,apps/v1,9,24,34,26,352,sample_id_only,1
q85,train,0,Deployment,apps/v1,9,25,59,60,399,sample_id_only,1
q86,train,0,Endpoints,v1,6,15,21,20,150,sample_id_only,1
q87,train,0,CustomResourceDefinition,apiextensions.k8s.io/v1,11,28,22,14,511,sample_id_only,1
q88,train,0,HorizontalPodAutoscaler,autoscaling/v1,4,13,41,24,260,sample_id_only,1
q89,test,0,Deployment,apps/v1,9,59,104,68,925,sample_id_only,1
q89,test,1,Service,v1,9,59,104,68,925,sample_id_only,1
q89,test,2,HorizontalPodAutoscaler,autoscaling/v2,9,59,104,68,925,sample_id_only,1
q90,train,0,Ingress,networking.k8s.io/v1,11,25,54,22,405,sample_id_only,1
q91,train,0,Ingress,networking.k8s.io/v1,11,18,44,20,269,sample_id_only,1
q92,train,0,Ingress,networking.k8s.io/v1,10,23,62,36,478,sample_id_only,1
q93,train,0,Ingress,networking.k8s.io/v1,11,31,46,38,505,sample_id_only,1
q94,train,0,Ingress,networking.k8s.io/v1,11,27,30,13,454,sample_id_only,1
q95,train,0,Ingress,networking.k8s.io/v1,11,24,30,20,386,sample_id_only,1
q96,train,0,Ingress,networking.k8s.io/v1,11,20,86,79,332,sample_id_only,1
q97,train,0,Ingress,networking.k8s.io/v1,11,31,64,38,475,sample_id_only,1
q98,train,0,Ingress,networking.k8s.io/v1,11,18,33,29,259,sample_id_only,1
q99,train,0,Ingress,networking.k8s.io/v1,11,28,65,36,484,sample_id_only,1
q100,train,0,Job,batch/v1,8,19,21,21,280,sample_id_only,1
