sample_id,domain,prompt_policy,question_path,question_simplified_path,target_path,target_logical_name,question_text,question_simplified_text,target_yaml_raw,target_yaml_normalized,question_char_count,question_simplified_char_count,target_yaml_char_count,question_word_count,question_simplified_word_count,prompt_pair_similarity,yaml_parse_ok,yaml_document_count,yaml_top_level_key_count,yaml_max_depth,yaml_mapping_nodes,yaml_list_nodes,yaml_scalar_nodes,yaml_total_nodes,normalization_semantics_preserved,validation_status,validation_notes,yaml_hash,duplicate_yaml_group_size,duplicate_prompt_group_size,near_duplicate_group_size,leakage_group,leakage_reasons,split
q2,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q2/question.txt,data/question/Kubernetes/q2/question_simplified.txt,data/docker_compose/Kubernetes/q2/labeled_code.yaml,target_yaml,"Please provide me with the Kubernetes ConfigMap configuration for the game-demo application.
It specifies the initial number of lives for a player is ""3"", the ui_properties_file_name is ""user-interface.properties"", 
The game.properties specifies the params of 2 object: enemy and player. the types of enemies in the game are 'aliens,monsters'.
the maximum-lives a player can have is 5.","Provide Kubernetes ConfigMap config for game-demo app. Initial player lives: 3, ui_properties_file_name: user-interface.properties. game.properties defines params for objects enemy and player. Enemy types: aliens, monsters. Max player lives: 5.
","apiVersion: v1
kind: ConfigMap
metadata:
  name: game-demo
data:
  player_initial_lives: ""3""
  ui_properties_file_name: ""user-interface.properties""
  game.properties: |
    enemy.types=aliens,monsters
    player.maximum-lives=5","apiVersion: v1
data:
  game.properties: 'enemy.types=aliens,monsters

    player.maximum-lives=5'
  player_initial_lives: '3'
  ui_properties_file_name: user-interface.properties
kind: ConfigMap
metadata:
  name: game-demo
",385,245,227,58,29,0.200637,True,1,4,3,3,0,6,9,True,ok,,5fd4925b5ca8f4df5afa90f0cce96fbf30a41dbae70940db24e0728913dec987,1,1,1,group_001,sample_id_only,train
q3,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q3/question.txt,data/question/Kubernetes/q3/question_simplified.txt,data/docker_compose/Kubernetes/q3/labeled_code.yaml,target_yaml,"Is it possible to find out a K8s cluster name from the API? I looked around the API and could not find it.
If not, please provide a YAML file to store it inside the cluster with a configmap named cluster-info. The cluster-name is foo.","Is it possible to find the K8s cluster name from the API? If not, provide a YAML file to store it in the cluster with a configmap named cluster-info, using the cluster-name foo.
","apiVersion: v1
kind: ConfigMap
metadata:
  name: cluster-info
data:
  cluster-name: foo","apiVersion: v1
data:
  cluster-name: foo
kind: ConfigMap
metadata:
  name: cluster-info
",234,178,87,45,33,0.817518,True,1,4,3,3,0,4,7,True,ok,,b17f3139b55daaddaff1ecd37afd536a9ff268bdab2a2c97187651baa6be2006,1,1,1,group_002,sample_id_only,train
q4,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q4/question.txt,data/question/Kubernetes/q4/question_simplified.txt,data/docker_compose/Kubernetes/q4/labeled_code.yaml,target_yaml,"I have a question related to Kubernetes YAML:
Create a ConfigMap named database-config that contains the following key-values: DB_HOST=database-host, DB_PORT=5432.
","Create a ConfigMap named database-config with key-values DB_HOST=database-host and DB_PORT=5432.
","apiVersion: v1
kind: ConfigMap
metadata:
  name: database-config
data:
  DB_HOST: database-host
  DB_PORT: ""5432""
","apiVersion: v1
data:
  DB_HOST: database-host
  DB_PORT: '5432'
kind: ConfigMap
metadata:
  name: database-config
",164,97,114,22,12,0.694981,True,1,4,3,3,0,5,8,True,ok,,d43ead7ef076792131d516aec64faa8f88fe411d8d76b933bca6b885ab395498,1,1,1,group_003,sample_id_only,train
q5,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q5/question.txt,data/question/Kubernetes/q5/question_simplified.txt,data/docker_compose/Kubernetes/q5/labeled_code.yaml,target_yaml,"Please write a yaml file for k8s cronjob that prints 'OK' every minute using the latest ubuntu image. 
The name of the job has to be 'example'.","Write a YAML for a k8s cronjob that prints 'OK' every minute using the latest ubuntu image. Job name: 'example'.
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""bash"", ""-c"", ""echo 'OK'""]
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - bash
            - -c
            - echo 'OK'
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",143,113,312,28,21,0.834646,True,1,4,10,8,2,10,20,True,ok,,3ba334fbd80599a1c24e8c63712ab9ab3bc669f3426a40a87afd2b4fbd868676,1,1,1,group_004,sample_id_only,train
q6,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q6/question.txt,data/question/Kubernetes/q6/question_simplified.txt,data/docker_compose/Kubernetes/q6/labeled_code.yaml,target_yaml,"Is there a way to automatically remove completed Jobs besides making a CronJob to clean up completed Jobs?
Specifically, Please modify this YAML so that it can only keep 0 completed jobs and 2 failed job. 
```
apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure
```","Can we automatically remove completed Jobs without using a CronJob? Modify this YAML to keep 0 completed jobs and 2 failed jobs.
```
apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure
```","apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  schedule: ""*/1 * * * *""
  successfulJobsHistoryLimit: 0
  failedJobsHistoryLimit: 2
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: hello
            image: busybox
            args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: hello
spec:
  failedJobsHistoryLimit: 2
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - args:
            - /bin/sh
            - -c
            - date; echo Hello from the Kubernetes cluster
            image: busybox
            name: hello
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
  successfulJobsHistoryLimit: 0
",583,506,429,71,57,0.711628,True,1,4,10,8,2,12,22,True,ok,,00c8ed974f39030e0893cb7c49a476d8718a8413cdb87874e5dee5ee8355c14c,1,1,1,group_005,sample_id_only,train
q7,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q7/question.txt,data/question/Kubernetes/q7/question_simplified.txt,data/docker_compose/Kubernetes/q7/labeled_code.yaml,target_yaml,"Please write a yaml file for k8s cronjob that prints 'OK' every minute and sleep 80 seconds using the latest ubuntu image. 
The name of the job has to be 'example'. Do not run if the previous cronjob is still running.","Write a YAML for a k8s cronjob that prints 'OK' every minute and sleeps for 80 seconds using the latest ubuntu image. Job name: 'example'. Do not run if the previous cronjob is still running.
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""bash"", ""-c"", ""echo 'OK'; sleep 80""]
          restartPolicy: OnFailure
  concurrencyPolicy: Forbid","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  concurrencyPolicy: Forbid
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - bash
            - -c
            - echo 'OK'; sleep 80
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",217,192,350,42,36,0.884521,True,1,4,10,8,2,11,21,True,ok,,2ee130465bc0253b17cb95a024f5ad737e283250b52a80bfb7fa44f30cdf7e4f,1,1,1,group_006,sample_id_only,train
q8,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q8/question.txt,data/question/Kubernetes/q8/question_simplified.txt,data/docker_compose/Kubernetes/q8/labeled_code.yaml,target_yaml,Please write a yaml file for k8s cronjob that prints 'OK' every minute using the latest ubuntu image. The name of the job has to be 'example'. Then modify it to run at the begining of every month instead.,"Write a YAML for a k8s cronjob that prints 'OK' every minute using the latest ubuntu image. Job name: 'example'. Modify it to run at the beginning of every month instead.
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  schedule: ""0 0 1 * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: example
            image: ubuntu:latest
            command: [""echo"", ""OK""]
          restartPolicy: OnFailure","apiVersion: batch/v1
kind: CronJob
metadata:
  name: example
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - echo
            - OK
            image: ubuntu:latest
            name: example
          restartPolicy: OnFailure
  schedule: 0 0 1 * *
",204,171,297,40,32,0.871658,True,1,4,10,8,2,9,19,True,ok,,4c7613c553601a21637d9884c4cf5dcf5b1f30346635238804c4df6b638e8cd9,1,1,1,group_007,sample_id_only,train
q9,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q9/question.txt,data/question/Kubernetes/q9/question_simplified.txt,data/docker_compose/Kubernetes/q9/labeled_code.yaml,target_yaml,"Create a Kubernetes CronJob to run the following job every minute. 
If an existing job is running, it will be replaced with a new one. 
You can use any images, such as busybox.
```
/bin/sh -c ""sleep 65""
```","Create a k8s CronJob to run a job every minute. Replace existing job if running. Use any image, e.g. busybox. Job command: `/bin/sh -c ""sleep 65""`.
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: x-job
spec:
  schedule: ""*/1 * * * *""
  concurrencyPolicy: Replace
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: busybox
            image: busybox
            args:
            - ""/bin/sh""
            - ""-c""
            - ""sleep 65""
          restartPolicy: Never
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: x-job
spec:
  concurrencyPolicy: Replace
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - args:
            - /bin/sh
            - -c
            - sleep 65
            image: busybox
            name: busybox
          restartPolicy: Never
  schedule: '*/1 * * * *'
",206,148,367,37,27,0.683761,True,1,4,10,8,2,11,21,True,ok,,3d69dc2292f8052d93cec98eb112f9b08964278bd249eb4956f9fbf9c7917846,1,1,1,group_008,sample_id_only,train
q10,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q10/question.txt,data/question/Kubernetes/q10/question_simplified.txt,data/docker_compose/Kubernetes/q10/labeled_code.yaml,target_yaml,"Can you schedule a periodical Kubernetes job to run the following script every 1 minute? It runs on nginx. However, it does not allow concurrent executions.
```
/bin/sh -c ""sleep 65""
```","Schedule a periodic k8s job to run the script every 1 minute. Script runs on nginx and does not allow concurrent executions.
```
/bin/sh -c ""sleep 65""
```
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: x-job
spec:
  schedule: ""*/1 * * * *""
  concurrencyPolicy: Forbid
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: nginx
            image: nginx
            args:
            - ""/bin/sh""
            - ""-c""
            - ""sleep 65""
          restartPolicy: Never
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: x-job
spec:
  concurrencyPolicy: Forbid
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - args:
            - /bin/sh
            - -c
            - sleep 65
            image: nginx
            name: nginx
          restartPolicy: Never
  schedule: '*/1 * * * *'
",186,155,362,30,26,0.852941,True,1,4,10,8,2,11,21,True,ok,,ef7494d5095074012434c741f923fc91828d3740a44ddac6b2b5550069634633,1,1,1,group_009,sample_id_only,train
q11,Kubernetes,retain_both_variants_shared_split,data/question/Kubernetes/q11/question.txt,data/question/Kubernetes/q11/question_simplified.txt,data/docker_compose/Kubernetes/q11/labeled_code.yaml,target_yaml,"Please use Kubernetes YAML to set up a CronJob that runs every minute. 
The job should run a busybox container which outputs the value of an environment variable CRON_NAME. 
Name the CronJob ""env-job"" and set the environment variable's value to CronTest.
","Create a Kubernetes CronJob YAML that runs every minute. The job should use a busybox container to output the value of the environment variable CRON_NAME. Name the CronJob ""env-job"" and set the environment variable's value to CronTest.
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: env-job
spec:
  schedule: ""*/1 * * * *""
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - name: busybox
            image: busybox:latest
            command: [""/bin/sh"", ""-c"", ""echo $CRON_NAME""]
            env:
            - name: CRON_NAME
              value: ""CronTest""
          restartPolicy: OnFailure
","apiVersion: batch/v1
kind: CronJob
metadata:
  name: env-job
spec:
  jobTemplate:
    spec:
      template:
        spec:
          containers:
          - command:
            - /bin/sh
            - -c
            - echo $CRON_NAME
            env:
            - name: CRON_NAME
              value: CronTest
            image: busybox:latest
            name: busybox
          restartPolicy: OnFailure
  schedule: '*/1 * * * *'
",255,236,402,42,38,0.028747,True,1,4,11,9,3,12,24,True,ok,,7a32dbfef318c7cd00805f1eedc6c995a948755722d7444acdff93ef3de7008d,1,1,1,group_010,sample_id_only,train
