sample_id,domain,leakage_group,leakage_reasons,split,validation_status
q2,Kubernetes,group_001,sample_id_only,train,ok
q3,Kubernetes,group_002,sample_id_only,train,ok
q4,Kubernetes,group_003,sample_id_only,train,ok
q5,Kubernetes,group_004,sample_id_only,train,ok
q6,Kubernetes,group_005,sample_id_only,train,ok
q7,Kubernetes,group_006,sample_id_only,train,ok
q8,Kubernetes,group_007,sample_id_only,train,ok
q9,Kubernetes,group_008,sample_id_only,train,ok
q10,Kubernetes,group_009,sample_id_only,train,ok
q11,Kubernetes,group_010,sample_id_only,train,ok
q12,Kubernetes,group_011,exact_yaml_duplicate,test,ok
q13,Kubernetes,group_012,exact_yaml_duplicate,validation,ok
q14,Kubernetes,group_013,sample_id_only,train,ok
q15,Kubernetes,group_011,exact_yaml_duplicate,test,ok
q16,Kubernetes,group_014,exact_yaml_duplicate,test,ok
q17,Kubernetes,group_015,exact_yaml_duplicate,validation,ok
q18,Kubernetes,group_016,exact_yaml_duplicate,test,ok
q19,Kubernetes,group_017,exact_yaml_duplicate,validation,ok
q20,Kubernetes,group_018,exact_yaml_duplicate,test,ok
q21,Kubernetes,group_019,exact_yaml_duplicate,validation,ok
q22,Kubernetes,group_020,exact_yaml_duplicate,validation,ok
q23,Kubernetes,group_014,exact_yaml_duplicate,test,ok
q24,Kubernetes,group_012,exact_yaml_duplicate,validation,ok
q25,Kubernetes,group_021,sample_id_only,train,ok
q26,Kubernetes,group_022,sample_id_only,train,ok
q27,Kubernetes,group_023,exact_yaml_duplicate,validation,ok
q28,Kubernetes,group_023,exact_yaml_duplicate,validation,ok
q29,Kubernetes,group_024,exact_yaml_duplicate,validation,ok
q30,Kubernetes,group_024,exact_yaml_duplicate,validation,ok
q31,Kubernetes,group_025,exact_yaml_duplicate,validation,ok
q32,Kubernetes,group_025,exact_yaml_duplicate,validation,ok
q33,Kubernetes,group_026,exact_yaml_duplicate,validation,ok
q34,Kubernetes,group_015,exact_yaml_duplicate,validation,ok
q35,Kubernetes,group_026,exact_yaml_duplicate,validation,ok
q36,Kubernetes,group_027,exact_yaml_duplicate,validation,ok
q37,Kubernetes,group_027,exact_yaml_duplicate,validation,ok
q38,Kubernetes,group_028,exact_yaml_duplicate,validation,ok
q39,Kubernetes,group_028,exact_yaml_duplicate,validation,ok
q40,Kubernetes,group_029,exact_yaml_duplicate,test,ok
q41,Kubernetes,group_030,exact_yaml_duplicate,validation,ok
q42,Kubernetes,group_031,exact_yaml_duplicate,validation,ok
q43,Kubernetes,group_032,exact_yaml_duplicate,validation,ok
q44,Kubernetes,group_033,exact_yaml_duplicate,validation,ok
q45,Kubernetes,group_016,exact_yaml_duplicate,test,ok
q46,Kubernetes,group_029,exact_yaml_duplicate,test,ok
q47,Kubernetes,group_030,exact_yaml_duplicate,validation,ok
q48,Kubernetes,group_031,exact_yaml_duplicate,validation,ok
q49,Kubernetes,group_032,exact_yaml_duplicate,validation,ok
q50,Kubernetes,group_033,exact_yaml_duplicate,validation,ok
q51,Kubernetes,group_034,sample_id_only,train,ok
q52,Kubernetes,group_035,sample_id_only,train,ok
q53,Kubernetes,group_036,sample_id_only,train,ok
q54,Kubernetes,group_017,exact_yaml_duplicate,validation,ok
q55,Kubernetes,group_037,sample_id_only,train,ok
q56,Kubernetes,group_038,sample_id_only,train,ok
q57,Kubernetes,group_039,sample_id_only,train,ok
q58,Kubernetes,group_040,sample_id_only,train,ok
q59,Kubernetes,group_041,sample_id_only,train,ok
q60,Kubernetes,group_042,sample_id_only,train,ok
q61,Kubernetes,group_043,sample_id_only,test,ok
q62,Kubernetes,group_044,sample_id_only,train,ok
q63,Kubernetes,group_018,exact_yaml_duplicate,test,ok
q64,Kubernetes,group_019,exact_yaml_duplicate,validation,ok
q65,Kubernetes,group_020,exact_yaml_duplicate,validation,ok
q66,Kubernetes,group_012,exact_yaml_duplicate,validation,ok
q67,Kubernetes,group_045,sample_id_only,train,ok
q68,Kubernetes,group_046,sample_id_only,test,ok
q69,Kubernetes,group_047,sample_id_only,train,ok
q70,Kubernetes,group_048,sample_id_only,train,ok
q71,Kubernetes,group_049,sample_id_only,test,ok
q72,Kubernetes,group_050,sample_id_only,test,ok
q73,Kubernetes,group_051,sample_id_only,test,ok
q74,Kubernetes,group_052,sample_id_only,train,ok
q75,Kubernetes,group_053,sample_id_only,train,ok
q76,Kubernetes,group_054,sample_id_only,train,ok
q77,Kubernetes,group_055,sample_id_only,train,ok
q78,Kubernetes,group_056,sample_id_only,test,ok
q79,Kubernetes,group_057,sample_id_only,train,ok
q80,Kubernetes,group_058,sample_id_only,train,ok
q81,Kubernetes,group_059,sample_id_only,test,ok
q82,Kubernetes,group_060,sample_id_only,train,ok
q83,Kubernetes,group_061,sample_id_only,test,ok
q84,Kubernetes,group_062,sample_id_only,train,ok
q85,Kubernetes,group_063,sample_id_only,train,ok
q86,Kubernetes,group_064,sample_id_only,train,ok
q87,Kubernetes,group_065,sample_id_only,train,ok
q88,Kubernetes,group_066,sample_id_only,train,ok
q89,Kubernetes,group_067,sample_id_only,test,ok
q90,Kubernetes,group_068,sample_id_only,train,ok
q91,Kubernetes,group_069,sample_id_only,train,ok
q92,Kubernetes,group_070,sample_id_only,train,ok
q93,Kubernetes,group_071,sample_id_only,train,ok
q94,Kubernetes,group_072,sample_id_only,train,ok
q95,Kubernetes,group_073,sample_id_only,train,ok
q96,Kubernetes,group_074,sample_id_only,train,ok
q97,Kubernetes,group_075,sample_id_only,train,ok
q98,Kubernetes,group_076,sample_id_only,train,ok
q99,Kubernetes,group_077,sample_id_only,train,ok
q100,Kubernetes,group_078,sample_id_only,train,ok
q101,Kubernetes,group_079,sample_id_only,train,ok
q102,Kubernetes,group_080,sample_id_only,train,ok
q103,Kubernetes,group_081,sample_id_only,test,ok
q104,Kubernetes,group_082,sample_id_only,train,ok
q105,Kubernetes,group_083,sample_id_only,train,ok
q106,Kubernetes,group_084,sample_id_only,train,ok
q107,Kubernetes,group_085,sample_id_only,train,ok
q108,Kubernetes,group_086,sample_id_only,train,ok
q109,Kubernetes,group_087,sample_id_only,train,ok
q110,Kubernetes,group_088,sample_id_only,train,ok
q111,Kubernetes,group_089,sample_id_only,train,ok
q112,Kubernetes,group_090,sample_id_only,train,ok
q113,Kubernetes,group_091,sample_id_only,train,ok
q114,Kubernetes,group_092,sample_id_only,train,ok
q115,Kubernetes,group_093,sample_id_only,train,ok
q116,Kubernetes,group_094,sample_id_only,train,ok
q117,Kubernetes,group_095,sample_id_only,train,ok
q118,Kubernetes,group_096,sample_id_only,train,ok
q119,Kubernetes,group_097,sample_id_only,train,ok
q120,Kubernetes,group_098,sample_id_only,train,ok
q121,Kubernetes,group_099,sample_id_only,train,ok
q122,Kubernetes,group_100,exact_yaml_duplicate,test,ok
q123,Kubernetes,group_100,exact_yaml_duplicate,test,ok
q124,Kubernetes,group_101,sample_id_only,train,ok
q125,Kubernetes,group_102,sample_id_only,train,ok
q126,Kubernetes,group_103,exact_yaml_duplicate,validation,ok
q127,Kubernetes,group_104,sample_id_only,train,ok
q128,Kubernetes,group_105,sample_id_only,train,ok
q129,Kubernetes,group_106,sample_id_only,train,ok
q130,Kubernetes,group_107,sample_id_only,train,ok
q131,Kubernetes,group_108,sample_id_only,train,ok
q132,Kubernetes,group_109,sample_id_only,test,ok
q133,Kubernetes,group_110,sample_id_only,train,ok
q134,Kubernetes,group_111,sample_id_only,train,ok
q135,Kubernetes,group_112,sample_id_only,train,ok
q136,Kubernetes,group_113,sample_id_only,train,ok
q137,Kubernetes,group_114,sample_id_only,train,ok
q138,Kubernetes,group_115,sample_id_only,train,ok
q139,Kubernetes,group_116,exact_yaml_duplicate,validation,ok
q140,Kubernetes,group_103,exact_yaml_duplicate,validation,ok
q141,Kubernetes,group_117,sample_id_only,train,ok
q142,Kubernetes,group_116,exact_yaml_duplicate,validation,ok
q143,Kubernetes,group_118,sample_id_only,train,ok
q144,Kubernetes,group_119,sample_id_only,train,ok
q145,Kubernetes,group_120,sample_id_only,train,ok
q146,Kubernetes,group_121,sample_id_only,train,ok
q147,Kubernetes,group_122,sample_id_only,train,ok
q148,Kubernetes,group_123,sample_id_only,train,ok
q149,Kubernetes,group_124,sample_id_only,train,ok
q150,Kubernetes,group_125,sample_id_only,train,ok
q151,Kubernetes,group_126,sample_id_only,train,ok
q152,Kubernetes,group_127,sample_id_only,train,ok
q153,Kubernetes,group_128,sample_id_only,train,ok
q154,Kubernetes,group_129,sample_id_only,train,ok
q155,Kubernetes,group_130,sample_id_only,train,ok
q156,Kubernetes,group_131,sample_id_only,train,ok
q157,Kubernetes,group_132,sample_id_only,train,ok
